id_establecimiento,financiamiento,tiene_terapia,id_departamento,id_provincia
13300842142128,estatal,False,84,30
10300842242031,estatal,False,84,30
10300842142035,estatal,False,84,30
10300842142036,estatal,False,84,30
10020012315461,privado,True,2,2
14020012315463,privado,False,11,2
50260772129148,estatal,False,77,26
50260772129150,estatal,False,77,26
50260212129088,estatal,False,21,26
50260212129091,estatal,False,21,26
53064132303228,privado,False,413,6
50421052353308,privado,False,105,42
53064692303230,privado,False,469,6
50421052353310,privado,False,105,42
53062102303232,privado,False,210,6
50421052353312,privado,False,105,42
50068402304642,privado,False,840,6
14063572304645,privado,False,357,6
13067912304647,privado,False,791,6
50064272304649,privado,False,427,6
50064202304650,privado,False,420,6
10063572304652,privado,False,357,6
50064272304674,privado,False,427,6
52064272304676,privado,False,427,6
50064272304678,privado,False,427,6
50020012316027,privado,False,14,2
50064272304680,privado,False,427,6
15062242304682,privado,False,224,6
53064272304684,privado,False,427,6
15062242304686,privado,False,224,6
50220362126233,estatal,False,36,22
10780142383000,privado,True,14,78
10780142383001,privado,True,14,78
52780142383148,privado,False,14,78
52780072383149,privado,False,7,78
14300842342139,privado,False,84,30
50380212150125,estatal,False,21,38
50380212150187,estatal,False,21,38
10661332173064,estatal,False,133,66
50141192231378,estatal,False,119,14
50141192231403,estatal,False,119,14
15065812304479,privado,False,581,6
50065682304480,privado,False,568,6
15063572304482,privado,False,357,6
52063572304484,privado,False,357,6
13063572304488,privado,False,357,6
15063572304490,privado,False,357,6
15065812304494,privado,False,581,6
50020012316011,privado,False,9,2
50020012316013,privado,False,9,2
50900842196468,estatal,False,84,90
10300982142060,estatal,False,98,30
10301052142041,estatal,False,105,30
50064412201276,estatal,False,441,6
50064412201334,estatal,False,441,6
50064272304496,privado,False,427,6
50064272304498,privado,False,427,6
50064272304500,privado,False,427,6
50020012316015,privado,False,2,2
50064272304502,privado,False,427,6
50020012316017,privado,False,1,2
51065812304504,privado,False,581,6
50065682304506,privado,False,568,6
50020012316019,privado,False,2,2
50063572304508,privado,False,357,6
50063572304906,privado,False,357,6
50064202304908,privado,False,420,6
50700282377236,privado,False,28,70
50381122150217,estatal,False,112,38
50381122150058,estatal,False,112,38
50380352150145,estatal,False,35,38
50180072239511,estatal,False,7,18
50900842396453,privado,False,84,90
50580842167241,estatal,False,84,58
50861122192637,estatal,False,112,86
10500982357002,privado,True,98,50
50501052757340,privado,False,105,50
50500142757370,privado,False,14,50
10500142357052,privado,False,14,50
51900842396798,privado,False,84,90
50861192192639,estatal,False,119,86
50060582303755,privado,False,658,6
50861892192641,estatal,False,147,86
50860212192643,estatal,False,147,86
50061752301545,privado,False,175,6
52064902303757,privado,False,490,6
50860072192663,estatal,False,7,86
52060352303761,privado,False,35,6
50860982192665,estatal,False,98,86
14141542131371,estatal,False,154,14
50861332192667,estatal,False,133,86
50861052192669,estatal,False,105,86
51062742303763,privado,False,274,6
10300842142059,estatal,True,84,30
50740562380189,privado,False,56,74
50740562380191,privado,False,56,74
52060582303542,privado,False,658,6
50501052158508,estatal,False,105,50
53060582303546,privado,False,658,6
14820842184371,estatal,False,84,82
50420212353536,privado,False,21,42
50068612303663,privado,False,861,6
52060352303817,privado,False,35,6
52064342303819,privado,False,434,6
50064902303821,privado,False,490,6
50064342703823,privado,False,434,6
10660072173053,estatal,False,7,66
10660072373013,privado,True,7,66
10660072173054,estatal,False,7,66
10660142173021,estatal,False,14,66
50501052757321,privado,False,105,50
50501053057327,privado,False,105,50
50501052757328,privado,False,105,50
50500352757343,privado,False,35,50
14020012315465,privado,False,14,2
13020012315480,privado,False,3,2
50064272304688,privado,False,427,6
52020012316029,privado,False,1,2
50380702150143,estatal,False,70,38
14064832304690,privado,False,483,6
15066932304692,privado,False,693,6
50064272304694,privado,False,427,6
14065322304696,privado,False,532,6
50064272304698,privado,False,427,6
50020012316031,privado,False,15,2
50380632150072,estatal,False,63,38
15062242304700,privado,False,224,6
15067072304702,privado,False,707,6
52064272304704,privado,False,427,6
50065392304722,privado,False,539,6
51064972304724,privado,False,497,6
50065392304730,privado,False,539,6
52064972304732,privado,False,497,6
53065392304742,privado,False,539,6
50063292304756,privado,False,329,6
52065682304770,privado,False,568,6
50064272304792,privado,False,427,6
52064272304824,privado,False,427,6
10740352380028,privado,True,35,74
51740352380249,privado,False,35,74
50780142383103,privado,False,14,78
50064412201307,estatal,False,441,6
15062602305261,privado,False,260,6
15060582305265,privado,False,658,6
15062742305267,privado,False,274,6
10060582305269,privado,True,58,6
15060282305271,privado,False,28,6
50500072757388,privado,False,7,50
14064272305273,privado,False,427,6
15060352305275,privado,False,35,6
14060582305277,privado,False,658,6
15060352305301,privado,False,35,6
50064082305329,privado,False,408,6
50064082305331,privado,False,408,6
50064412201327,estatal,False,441,6
50064412201321,estatal,False,441,6
50064412201288,estatal,False,441,6
50064412201271,estatal,False,441,6
50064412201177,estatal,False,441,6
50064412201309,estatal,False,441,6
50940072195017,estatal,False,7,94
50940072195021,estatal,False,7,94
51300152342581,privado,False,15,30
50380422150127,estatal,False,42,38
50780212383068,privado,False,21,78
53900842396825,privado,False,84,90
50500772757347,privado,False,77,50
50501052757349,privado,False,105,50
50501122757353,privado,False,112,50
50501122757356,privado,False,112,50
10461052155029,estatal,False,105,46
10461122155036,estatal,False,112,46
10460282155012,estatal,False,28,46
