,establecimiento_id,provincia_id,provincia_nombre,departamento_id,departamento_nombre,origen_financiamiento,tiene_terapia
355,50861262192140,86,SANTIAGO DEL ESTERO,126,OJO DE AGUA,estatal,False
356,50861612192095,86,SANTIAGO DEL ESTERO,161,ROBLES,estatal,False
357,50860142192310,86,SANTIAGO DEL ESTERO,14,ALBERDI,estatal,False
358,50380632350323,38,JUJUY,63,SAN PEDRO,privado,False
359,15064902305251,6,BUENOS AIRES,490,LOMAS DE ZAMORA,privado,False
360,14062602305255,6,BUENOS AIRES,260,ESTEBAN ECHEVERRÍA,privado,False
361,15060582305257,6,BUENOS AIRES,658,QUILMES,privado,False
362,52780142383168,78,SANTA CRUZ,14,DESEADO,privado,False
363,50260422129194,26,CHUBUT,42,GAIMAN,estatal,False
364,50260492129213,26,CHUBUT,49,GASTRE,estatal,False
365,10260492129012,26,CHUBUT,49,GASTRE,estatal,False
366,14700282377057,70,SAN JUAN,28,CAPITAL,privado,False
367,10580422167034,58,NEUQUÉN,42,CHOS MALAL,estatal,False
368,10580632167022,58,NEUQUÉN,63,LONCOPUÉ,estatal,False
369,50140842131433,14,CÓRDOBA,84,PRESIDENTE ROQUE SÁENZ PEÑA,estatal,False
370,10580702167030,58,NEUQUÉN,70,LOS LAGOS,estatal,False
371,50140632231536,14,CÓRDOBA,63,MARCOS JUÁREZ,estatal,False
372,10580772167011,58,NEUQUÉN,77,MINAS,estatal,False
373,10580772167021,58,NEUQUÉN,77,MINAS,estatal,False
374,50140072231558,14,CÓRDOBA,7,CALAMUCHITA,estatal,False
375,50140072231510,14,CÓRDOBA,7,CALAMUCHITA,estatal,False
376,50140072231493,14,CÓRDOBA,7,CALAMUCHITA,estatal,False
377,10580842167016,58,NEUQUÉN,84,ÑORQUÍN,estatal,False
378,50140072231560,14,CÓRDOBA,7,CALAMUCHITA,estatal,False
379,10580912167013,58,NEUQUÉN,91,PEHUENCHES,estatal,False
380,50141402231540,14,CÓRDOBA,140,SAN JUSTO,estatal,False
381,50141402231543,14,CÓRDOBA,140,SAN JUSTO,estatal,False
